name,Span,Mat,Inns,NO,Runs,HS,SR,Hundreds,Fifties,Ducks,Country
CD McMillan,1997-2007,185,178,16,4574,117,76.24,3,27,9,New Zealand
SB Styris,1999-2011,177,157,20,4417,141,79.51,4,28,9,New Zealand
CZ Harris,1990-2004,236,209,61,4328,130,66.7,1,16,12,New Zealand
LRPL Taylor,2006-2014,126,120,15,4210,131*,82.37,10,25,7,New Zealand
JG Wright,1978-1992,144,144,1,3849,101,57.59,1,24,9,New Zealand
AC Parore,1992-2002,168,155,29,3206,108,68.01,1,14,19,New Zealand
KR Rutherford,1985-1995,118,114,9,3107,108,64.47,2,18,6,New Zealand
AH Jones,1987-1995,86,86,9,2760,93,58.19,0,25,4,New Zealand
RG Twose,1995-2001,81,78,9,2666,103,75.43,1,20,5,New Zealand
MJ Guptill,2009-2014,79,79,7,2665,189*,79.88,4,17,6,New Zealand
JDP Oram,2001-2012,153,116,15,2434,101*,86.61,1,13,8,New Zealand
L Vincent,2001-2007,98,97,10,2393,172,70.54,3,11,7,New Zealand
MJ Greatbatch,1988-1996,84,83,5,2206,111,71.18,2,13,7,New Zealand
DL Vettori,1997-2013,251,166,48,2040,83,81.6,0,4,21,New Zealand
JV Coney,1979-1987,84,79,19,1850,66*,64.84,0,8,1,New Zealand
BA Edgar,1978-1986,62,62,4,1795,102*,49.24,1,10,3,New Zealand
Sir RJ Hadlee,1973-1990,108,96,16,1740,79,75.52,0,4,4,New Zealand
KS Williamson,2010-2014,51,48,5,1681,145*,79.59,3,11,4,New Zealand
GM Turner,1973-1983,38,38,5,1572,171*,68.34,3,9,1,New Zealand
BA Young,1990-1999,69,68,2,1532,74,60.38,0,8,5,New Zealand
JJ Crowe,1983-1990,73,71,12,1518,88*,61.8,0,7,6,New Zealand
HJH Marshall,2003-2007,63,61,8,1430,101*,72.84,1,12,3,New Zealand
GP Howarth,1975-1985,65,62,4,1363,76,60.49,0,6,1,New Zealand
JD Ryder,2008-2014,45,42,1,1362,107,95.31,3,6,5,New Zealand
PG Fulton,2004-2009,47,45,5,1312,112,72.04,1,8,2,New Zealand
MS Sinclair,2000-2007,53,49,4,1302,118*,62.74,2,8,8,New Zealand
JEC Franklin,2001-2013,104,80,27,1270,98*,76.92,0,4,5,New Zealand
IDS Smith,1980-1992,95,77,16,1055,62*,99.43,0,3,7,New Zealand
JM How,2005-2011,37,35,1,1026,139,66.36,1,7,3,New Zealand
KD Mills,2001-2014,155,97,34,1015,54,81.2,0,2,7,New Zealand
GD Elliott,2008-2013,44,39,6,1013,115,70,1,6,3,New Zealand
BL Cairns,1974-1985,76,65,6,987,60,104.88,0,2,6,New Zealand
SA Thomson,1990-1996,55,52,10,964,83,67.55,0,5,2,New Zealand
NL McCullum,2009-2014,63,53,7,949,65,89.44,0,4,3,New Zealand
CM Spearman,1995-2001,50,50,0,936,86,77.87,0,5,6,New Zealand
MJ Horne,1997-2002,44,43,0,857,74,62.46,0,5,2,New Zealand
CJ Nevin,2000-2003,35,35,0,724,74,73.8,0,4,4,New Zealand
DN Patel,1987-1997,75,63,10,623,71,71.77,0,1,6,New Zealand
GR Larsen,1990-1999,117,69,26,612,37,64.35,0,0,6,New Zealand
JF Reid,1980-1986,22,22,0,604,88,58.02,0,4,0,New Zealand
DJ Nash,1992-2002,74,51,13,598,42,66,0,0,3,New Zealand
RJ Nicol,2011-2013,20,20,1,585,146,76.07,2,2,2,New Zealand
RT Latham,1990-1994,33,33,4,583,60,57.83,0,1,3,New Zealand
MC Snedden,1980-1990,91,54,19,535,64,63.46,0,1,4,New Zealand
BJ Watling,2010-2013,20,20,2,528,96*,68.83,0,5,2,New Zealand
LK Germon,1995-1997,36,31,5,519,89,65.94,0,3,2,New Zealand
JG Bracewell,1983-1990,51,42,12,499,43,71.08,0,0,6,New Zealand
TE Blain,1986-1994,38,38,11,442,49*,66.76,0,0,6,New Zealand
CJ Anderson,2013-2014,11,11,3,424,131*,159.39,1,1,0,New Zealand
AR Adams,2001-2007,41,34,10,419,45,100.47,0,0,1,New Zealand
MG Burgess,1973-1981,24,20,0,336,47,65.24,0,0,1,New Zealand
TG Southee,2008-2014,71,45,16,313,32,90.72,0,0,8,New Zealand
NT Broom,2009-2010,20,20,2,309,71,67.61,0,1,5,New Zealand
BR Hartland,1992-1994,15,15,1,305,68*,50.58,0,2,1,New Zealand
DR Tuffey,2000-2010,89,51,21,294,36,79.67,0,0,7,New Zealand
LG Howell,1998-1998,12,12,0,287,68,73.96,0,4,1,New Zealand
TWM Latham,2012-2013,12,12,1,276,86,76.24,0,1,1,New Zealand
SE Bond,2002-2010,79,39,21,273,31*,76.9,0,0,2,New Zealand
KJ Wadsworth,1973-1976,10,9,1,258,104,77.71,1,0,0,New Zealand
JAH Marshall,2005-2008,10,10,0,250,161,79.87,1,1,2,New Zealand
